LiYbF4-Li-473.15,1143.848145,1,473.15
Li3ErCl6-Li-298.15,2635.688962,1,298.15
Li3YBr6-Li-298.15,4408.243719,1,298.15
LiAlCl4-Li-298.15,2927.157308,1,298.15
LiGaBr4-Li-297.15,3292.111531,1,297.15
Li3InCl6-Li-298.15,2637.502027,1,298.15
Li2TiF6-Li-573.15,1599.564864,1,573.15
Na3SbS4-Na-298.15,3052.983034,1,298.15
Na3Zr2Si2PO12-Na-298.15,2208.064863,1,298.15
Na3Zr2Si2PO12-Na-473.15,2208.064863,1,473.15
NaYSiO4-Na-573.15,1507.889583,1,573.15
Na3PSe4-Na-298.15,3217.47064,1,298.15
Li2O-Li-298.15,796.3590275,1,298.15
Li6FeCl8-Li-473.15,2208.858773,1,473.15
Li6FeCl8-Li-673.15,2208.858773,1,673.15
LiTi2P3O12-Li-298,1355.763899,1,298
Li3OCl-Li-298.15,1587.146981,1,298.15
Li3Nd3Te2O12-Li-873,2046.306448,1,873
Li5La3Nb2O12-Li-295,2233.483562,1,295
Li7La3Zr2O12-Li-298,2202.338468,1,298
Li10SnP2S12-Li-300,2016.10447,1,300
Li7P3S11-Li-298.15,2563.577484,1,298.15
Li3ScCl6-Li-298.15,3494.694156,1,298.15
